name,playcount,listeners,mbid,url,streamable,tags
Fleetwood Mac,89124322,2504737,bd13909f-1c29-4c27-a874-d4aaf27c5b1a,https://www.last.fm/music/Fleetwood+Mac,0,"classic rock, rock, 70s"
Disturbed,114653986,2502189,dc75517c-d268-486d-bd5b-0eaff34eeef9,https://www.last.fm/music/Disturbed,0,"metal, Nu Metal, hard rock"
The Cranberries,63963884,2477361,c98d40fd-f6cf-4b26-883e-eaa515ee2851,https://www.last.fm/music/The+Cranberries,0,"rock, alternative, female vocalists"
Nelly Furtado,47170307,2472464,13655113-cd16-4b43-9dca-cadbbf26ee05,https://www.last.fm/music/Nelly+Furtado,0,"pop, female vocalists, Canadian"
Miley Cyrus,106468677,2465464,7e9bd05a-117f-4cce-87bc-e011527a8b18,https://www.last.fm/music/Miley+Cyrus,0,"pop, female vocalists, Disney"
The Shins,91986136,2463789,6c8b9855-ba8b-48f9-ac1d-42167f7f7b18,https://www.last.fm/music/The+Shins,0,"indie, indie rock, indie pop"
Sia,95034339,2449719,2f548675-008d-4332-876c-108b0c7ab9c5,https://www.last.fm/music/Sia,0,"female vocalists, chillout, indie"
Jason Mraz,65396234,2437189,82eb8936-7bf6-4577-8320-a2639465206d,https://www.last.fm/music/Jason+Mraz,0,"singer-songwriter, acoustic, pop"
Limp Bizkit,78825328,2427063,8f9d6bb2-dba4-4cca-9967-cc02b9f4820c,https://www.last.fm/music/Limp+Bizkit,0,"Nu Metal, rapcore, rock"
Wiz Khalifa,49681494,2422718,f5dfa020-ad69-41cd-b3d4-fd7af0414e94,https://www.last.fm/music/Wiz+Khalifa,0,"Hip-Hop, rap, underground hip-hop"
Beastie Boys,80696103,2416167,9beb62b2-88db-4cea-801e-162cd344ee53,https://www.last.fm/music/Beastie+Boys,0,"Hip-Hop, rap, alternative"
John Lennon,42399210,2410216,4d5447d7-c61c-4120-ba1b-d7f471d385b9,https://www.last.fm/music/John+Lennon,0,"classic rock, rock, singer-songwriter"
Stevie Wonder,49027319,2405933,c1aa2ec9-53e7-4d90-8d36-bac75832e986,https://www.last.fm/music/Stevie+Wonder,0,"soul, funk, motown"
Interpol,130147612,2399198,c44ff8d1-8c81-45c8-abd6-5feefb07b764,https://www.last.fm/music/Interpol,0,"indie, indie rock, post-punk"
Vampire Weekend,113780380,2398018,af37c51c-0790-4a29-b995-456f98a6b8c9,https://www.last.fm/music/Vampire+Weekend,0,"indie, indie rock, indie pop"
2Pac,64247302,2391581,382f1005-e9ab-4684-afd4-0bdae4ee37f2,https://www.last.fm/music/2Pac,0,"rap, Hip-Hop, Gangsta Rap"
Gwen Stefani,35845208,2389247,2e41ae9c-afd2-4f20-8f1e-17281ce9b472,https://www.last.fm/music/Gwen+Stefani,0,"pop, female vocalists, dance"
Sum 41,94752053,2387649,f2eef649-a6d5-4114-afba-e50ab26254d2,https://www.last.fm/music/Sum+41,0,"punk rock, punk, pop punk"
Three Days Grace,90211310,2387085,fabb37f8-eb2a-4cc1-a72a-b56935bbb72d,https://www.last.fm/music/Three+Days+Grace,0,"alternative rock, rock, alternative"
Nicki Minaj,92509226,2375281,1036b808-f58c-4a3e-b461-a2c4492ecf1b,https://www.last.fm/music/Nicki+Minaj,0,"Hip-Hop, rap, rnb"
Marilyn Manson,131991377,2369802,80cadd99-f560-41e3-babd-16292bbd248a,https://www.last.fm/music/Marilyn+Manson,0,"industrial, industrial metal, metal"
The Fray,56511092,2364609,2ddd167f-5b8a-4372-b350-6ad50493bac0,https://www.last.fm/music/The+Fray,0,"alternative, rock, piano rock"
The Chemical Brothers,64677928,2356602,1946a82a-f927-40c2-8235-38d64f50d043,https://www.last.fm/music/The+Chemical+Brothers,0,"electronic, dance, big beat"
Kaiser Chiefs,52181695,2356250,90218af4-4d58-4821-8d41-2ee295ebbe21,https://www.last.fm/music/Kaiser+Chiefs,0,"indie, indie rock, seen live"
Bruce Springsteen,89057017,2354873,70248960-cb53-4ea4-943a-edb18f7d336f,https://www.last.fm/music/Bruce+Springsteen,0,"rock, classic rock, singer-songwriter"
Flo Rida,35386791,2352754,4593d49a-7f67-46ba-9ec0-126bd676286f,https://www.last.fm/music/Flo+Rida,0,"Hip-Hop, rap, hip hop"
Björk,127759840,2350503,87c5dedd-371d-4a53-9f7f-80522fb7f3cb,https://www.last.fm/music/Bj%C3%B6rk,0,"electronic, alternative, experimental"
The Black Keys,140641381,2341607,d15721d8-56b4-453d-b506-fc915b14cba2,https://www.last.fm/music/The+Black+Keys,0,"blues rock, blues, rock"
Lily Allen,74051384,2336040,6e0c7c0e-cba5-4c2c-a652-38f71ef5785d,https://www.last.fm/music/Lily+Allen,0,"pop, female vocalists, british"
The Prodigy,105276469,2329145,4a4ee089-93b1-4470-af9a-6ff575d32704,https://www.last.fm/music/The+Prodigy,0,"electronic, techno, industrial"
Nine Inch Nails,193286934,2323999,b7ffd2af-418f-4be2-bdd1-22f8b48613da,https://www.last.fm/music/Nine+Inch+Nails,0,"industrial, industrial rock, rock"
Audioslave,58662620,2323797,020bfbb4-05c3-4c86-b372-17825c262094,https://www.last.fm/music/Audioslave,0,"rock, alternative rock, hard rock"
Dire Straits,62456051,2309783,614e3804-7d34-41ba-857f-811bad7c2b7a,https://www.last.fm/music/Dire+Straits,0,"classic rock, rock, 80s"
Lana Del Rey,302488866,2297074,b7539c32-53e7-4908-bda3-81449c367da6,https://www.last.fm/music/Lana+Del+Rey,0,"female vocalists, indie, indie pop"
Jennifer Lopez,39220374,2293134,f0602f55-1770-483d-89bd-4bae0d0ac086,https://www.last.fm/music/Jennifer+Lopez,0,"pop, latin, rnb"
Eagles,40012358,2288051,f46bd570-5768-462e-b84c-c7c993bbf47e,https://www.last.fm/music/Eagles,0,"classic rock, rock, 70s"
The Notorious B.I.G.,47203781,2287452,d5d97b2b-b83b-4976-814a-056d9076c8c3,https://www.last.fm/music/The+Notorious+B.I.G.,0,"Hip-Hop, rap, Gangsta Rap"
The Kinks,56617905,2277158,f53888c9-8bdc-4cc3-b2ab-ddab6bc5afb7,https://www.last.fm/music/The+Kinks,0,"classic rock, 60s, rock"
Deep Purple,57291008,2256167,79491354-3d83-40e3-9d8e-7592d58d790a,https://www.last.fm/music/Deep+Purple,0,"hard rock, classic rock, rock"
Air,92784569,2250346,ef3f5cea-b32e-4325-b8d4-96ae70a9fc2e,https://www.last.fm/music/Air,0,"electronic, chillout, ambient"
Jimmy Eat World,74541746,2233259,bbc5b66b-d037-4f26-aecf-0b129e7f876a,https://www.last.fm/music/Jimmy+Eat+World,0,"rock, alternative, emo"
Iron Maiden,179907983,2229622,ca891d65-d9b0-4258-89f7-e6ba29d83767,https://www.last.fm/music/Iron+Maiden,0,"heavy metal, metal, NWOBHM"
The Pussycat Dolls,32436735,2221124,1fda852b-92e9-4562-82fa-c52820a77b23,https://www.last.fm/music/The+Pussycat+Dolls,0,"pop, rnb, dance"
Pitbull,37476139,2220700,d262ea27-3ffe-40f7-b922-85c42d625e67,https://www.last.fm/music/Pitbull,0,"Hip-Hop, rap, Reggaeton"
Bruno Mars,65815258,2218018,afb680f2-b6eb-4cd7-a70b-a63b25c763d5,https://www.last.fm/music/Bruno+Mars,0,"pop, rnb, male vocalists"
Ellie Goulding,93439556,2212859,33ca19f4-18c8-4411-98df-ac23890ce9f5,https://www.last.fm/music/Ellie+Goulding,0,"female vocalists, electronic, british"
Sufjan Stevens,147008755,2210817,01d3c51b-9b98-418a-8d8e-37f6fab59d8c,https://www.last.fm/music/Sufjan+Stevens,0,"indie, folk, singer-songwriter"
Portishead,89426986,2205460,8f6bd1e4-fbe1-4f50-aa9b-94c450ec0f11,https://www.last.fm/music/Portishead,0,"trip-hop, electronic, female vocalists"
Bon Iver,136942661,2198430,437a0e49-c6ae-42f6-a6c1-84f25ed366bc,https://www.last.fm/music/Bon+Iver,0,"folk, indie, singer-songwriter"
The Verve,36955159,2188357,d4d17620-fd97-4574-92a8-a2cb7e72ce42,https://www.last.fm/music/The+Verve,0,"britpop, rock, alternative"
Joy Division,111865461,2179616,9a58fda3-f4ed-4080-a3a5-f457aac9fcdd,https://www.last.fm/music/Joy+Division,0,"post-punk, new wave, 80s"
Phoenix,83498866,2177939,ec5bae34-cd8d-47cb-aa66-60bc0fdce77b,https://www.last.fm/music/Phoenix,0,"indie, french, indie pop"
Iron & Wine,75693792,2176424,c3f28da8-662d-4f09-bdc7-3084bf685930,https://www.last.fm/music/Iron+&+Wine,0,"folk, indie, singer-songwriter"
Norah Jones,70917932,2174759,985c709c-7771-4de3-9024-7bda29ebe3f9,https://www.last.fm/music/Norah+Jones,0,"jazz, female vocalists, blues"
Akon,26960557,2164448,1138a764-2212-4d0a-b02d-0dc14df91e08,https://www.last.fm/music/Akon,0,"Hip-Hop, rnb, rap"
